hazard_id,HAZARD_BEGIN_DATE,HAZARD_END_DATE,HAZARD_TYPE_COMBO,NAME,POSTAL_CODE,FIPS_CODE,INJURIES,FATALITIES,PROPERTY_DAMAGE,CROP_DAMAGE,REMARKS,
9418620,6/14/2012,6/14/2012,Severe Storm/Thunder Storm - Wind,Houston                                                                                                                                               ,GA,"13153",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9418654,7/17/2012,7/17/2012,Severe Storm/Thunder Storm - Wind,Barrow                                                                                                                                                ,GA,"13013",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9418662,7/17/2012,7/17/2012,Severe Storm/Thunder Storm - Wind,Crawford                                                                                                                                              ,GA,"13079",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9418664,7/18/2012,7/18/2012,Severe Storm/Thunder Storm - Wind,Murray                                                                                                                                                ,GA,"13213",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9418671,7/26/2012,7/26/2012,Severe Storm/Thunder Storm - Wind,Bibb                                                                                                                                                  ,GA,"13021",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9418672,7/26/2012,7/26/2012,Severe Storm/Thunder Storm - Wind,Taylor                                                                                                                                                ,GA,"13269",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9419207,3/3/2012,3/3/2012,Severe Storm/Thunder Storm - Wind,Ware                                                                                                                                                  ,GA,"13299",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9419209,3/16/2012,3/16/2012,Severe Storm/Thunder Storm - Wind,Coffee                                                                                                                                                ,GA,"13069",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9419477,5/31/2012,5/31/2012,Severe Storm/Thunder Storm - Wind,Thomas                                                                                                                                                ,GA,"13275",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9419479,5/31/2012,5/31/2012,Severe Storm/Thunder Storm - Wind,Brooks                                                                                                                                                ,GA,"13027",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420328,6/10/2012,6/10/2012,Severe Storm/Thunder Storm - Wind,Seminole                                                                                                                                              ,GA,"13253",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420329,6/11/2012,6/11/2012,Severe Storm/Thunder Storm - Wind,Decatur                                                                                                                                               ,GA,"13087",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420331,6/11/2012,6/11/2012,Severe Storm/Thunder Storm - Wind,Colquitt                                                                                                                                              ,GA,"13071",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420333,6/11/2012,6/11/2012,Severe Storm/Thunder Storm - Wind,Cook                                                                                                                                                  ,GA,"13075",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420342,6/14/2012,6/14/2012,Severe Storm/Thunder Storm - Wind,Clay                                                                                                                                                  ,GA,"13061",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420416,7/17/2012,7/17/2012,Severe Storm/Thunder Storm - Wind,Turner                                                                                                                                                ,GA,"13287",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420418,7/17/2012,7/17/2012,Severe Storm/Thunder Storm - Wind,Berrien                                                                                                                                               ,GA,"13019",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420419,7/17/2012,7/17/2012,Severe Storm/Thunder Storm - Wind,Thomas                                                                                                                                                ,GA,"13275",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420421,7/17/2012,7/17/2012,Severe Storm/Thunder Storm - Wind,Tift                                                                                                                                                  ,GA,"13277",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420427,7/24/2012,7/24/2012,Severe Storm/Thunder Storm - Wind,Randolph                                                                                                                                              ,GA,"13243",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420433,7/25/2012,7/25/2012,Severe Storm/Thunder Storm - Wind,Decatur                                                                                                                                               ,GA,"13087",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420434,7/25/2012,7/25/2012,Severe Storm/Thunder Storm - Wind,Grady                                                                                                                                                 ,GA,"13131",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420437,7/26/2012,7/26/2012,Severe Storm/Thunder Storm - Wind,Baker                                                                                                                                                 ,GA,"13007",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
